39204,38,1,0,38,1,0,2
9840,5,8,11,3,2,8,1
18975,0,1,5,0,1,5,2
39969,43,22,2,43,22,2,2
23158,199,313,258,150,212,159,15
9721,2,5,6,0,3,4,3
9419,0,0,0,0,0,0,0
35185,43,3,0,43,3,0,3
5874,3,0,0,2,0,0,0
24874,0,1,0,0,1,0,1
6633,2,10,5,2,6,5,0
16793,0,1,2,0,1,1,0
10667,21,75,61,15,59,52,12
35970,364,63,17,364,63,17,8
7767,13,10,23,9,6,20,4
3509,45,37,3,7,20,1,9
14690,10,1,10,4,0,7,1
7465,8,36,26,8,30,22,7
2841,5,7,13,5,6,13,2
35932,39,8,1,39,8,1,2
25183,77,11,0,38,6,0,5
39302,159,16,3,63,5,1,1
13707,279,74,32,279,74,32,44
12048,3,2,0,2,2,0,4
3483,0,28,0,0,22,0,6
19195,61,4,1,61,4,1,7
10730,9,37,23,9,35,15,12
23754,1,3,2,1,1,2,3
32472,2,2,2,2,2,2,4
35838,135,4,3,135,4,3,6
35070,153,12,9,153,12,9,3
7962,2,13,6,2,13,6,6
31355,45,0,0,35,0,0,4
35655,21,3,1,21,3,1,3
6605,4,2,0,4,2,0,0
26033,9,8,5,5,4,4,1
28064,101,53,5,54,4,0,9
28198,5,7,6,5,7,6,3
2502,25,10,11,23,8,5,1
31586,36,0,0,32,0,0,3
28842,271,68,18,271,68,18,5
8230,107,302,195,73,79,195,13
14630,5,7,7,4,5,4,1
26717,24,5,6,24,5,6,4
30820,8,5,0,5,3,0,1
27374,165,10,1,165,10,1,45
6368,4,11,10,4,8,10,6
31938,1,2,5,1,2,4,1
25800,15,81,93,7,27,24,8
10765,76,64,12,57,38,6,11
31278,35,0,0,34,0,0,5
18428,36,3,6,36,3,6,1
7077,18,0,1,18,0,1,2
2704,341,344,20,187,196,0,30
8506,26,6,0,26,6,0,7
443,25,2,1,16,1,1,1
36462,21,3,0,17,2,0,4
7935,12,49,22,10,44,21,1
5701,18,60,10,6,44,0,7
25282,32,74,80,31,69,76,9
7523,114,243,16,47,93,0,47
5486,3,5,5,3,3,2,0
7949,99,122,126,51,78,67,24
4104,0,0,11,0,0,11,5
7355,19,22,26,19,22,18,4
11502,40,5,3,26,0,0,5
39844,0,0,0,0,0,0,0
35012,6,4,23,5,2,17,2
39201,44,4,0,10,1,0,1
31660,231,0,0,117,0,0,5
31314,123,0,0,100,0,0,10
24938,4,2,0,0,2,0,0
20899,20,4,1,20,4,1,1
8303,3,13,14,3,6,6,2
7274,6,37,33,6,37,33,9
2483,0,4,14,0,4,12,1
24008,38,7,5,38,7,5,2
21891,0,5,26,0,4,19,11
10882,20,85,37,15,45,14,10
7168,41,44,85,41,31,79,30
7538,1,10,17,1,10,17,5
4689,0,15,0,0,13,0,4
34182,3,4,4,3,4,4,3
25934,0,0,0,0,0,0,0
28082,36,9,1,4,0,0,1
25833,5,0,0,0,0,0,0
7904,21,36,44,19,25,32,6
6945,0,1,2,0,1,2,1
10864,31,1,0,25,0,0,6
4652,11,36,28,11,32,7,2
126,141,0,0,95,0,0,2
29404,90,26,7,90,26,7,8
39224,104,3,1,104,3,1,2
