20800,60,17,31,12,165,99,127,102,36,19,3,1,0,84
10240,6,0,0,6,7,4,7,6,1,3,1,1,0,0
25133,10,5,1,4,15,3,15,12,1,7,2,0,0,8
36337,12,10,1,1,15,3,13,7,4,7,1,0,0,11
25702,7,0,5,2,9,0,0,0,7,0,0,0,0,9
5555,95,47,48,0,101,50,89,101,3,56,33,2,0,19
7787,27,5,8,14,32,5,26,32,10,13,3,1,0,24
39122,24,21,3,0,29,27,27,27,0,12,10,2,0,19
20255,20,2,6,12,25,2,17,22,11,7,1,1,0,12
41125,4,0,2,2,5,3,5,5,0,1,3,0,0,0
3696,3,0,1,2,11,2,11,11,1,1,0,0,0,3
19796,13,0,2,11,13,8,13,13,1,4,7,1,0,0
8769,24,7,13,4,33,4,29,30,16,7,1,0,0,20
30785,9,0,9,0,10,10,10,10,0,5,3,1,0,0
8554,14,1,5,8,15,3,13,15,3,6,5,0,0,0
3510,44,24,20,0,53,22,52,53,10,18,13,3,0,40
2788,12,1,6,5,14,8,12,13,6,5,1,0,0,6
8853,18,1,6,11,25,6,24,25,1,13,3,1,0,1
23161,37,8,15,14,64,9,37,64,11,16,9,1,0,53
39387,95,95,0,0,143,18,130,143,27,38,19,10,1,19
25301,8,1,6,1,15,6,13,15,1,6,1,0,0,15
19770,7,0,0,7,9,3,9,9,4,2,1,0,0,1
23996,15,14,1,0,20,3,16,20,0,1,11,3,0,19
4021,74,68,4,2,169,7,137,128,42,19,11,2,0,114
3159,26,6,10,10,31,19,30,31,14,9,3,0,0,6
8517,5,5,0,0,10,1,8,10,1,1,3,0,0,7
6795,10,3,0,7,15,3,13,15,5,3,2,0,0,2
21741,5,0,5,0,10,1,6,10,2,0,3,0,0,10
4060,18,1,4,13,26,1,19,26,7,8,2,1,0,1
33358,6,2,4,0,8,1,8,5,4,1,1,0,0,4
9361,41,41,0,0,58,35,49,40,3,18,10,9,0,37
13957,18,16,0,2,22,0,16,21,6,9,1,1,0,10
3337,11,2,4,5,14,5,14,14,5,4,2,0,0,6
2078,9,0,0,9,13,3,12,12,4,3,0,2,0,2
32744,28,21,6,1,35,12,32,29,12,13,3,0,0,25
32020,139,129,8,2,166,119,154,152,36,43,38,19,3,135
7606,39,6,18,15,46,6,42,41,22,12,4,1,0,21
2253,129,63,66,0,144,21,123,144,7,69,44,8,0,78
5813,9,1,3,5,11,9,10,10,2,6,1,0,0,3
21329,5,3,0,2,11,5,11,11,2,2,1,0,0,5
15453,8,6,0,2,12,1,11,9,6,1,1,0,0,5
5995,8,2,4,2,19,1,14,19,5,2,1,0,0,13
